"gene_id"	"C1A"	"C1B"	"C2A"	"C2B"	"C5A"	"C5B"	"H1A"	"H1B"	"H2A"	"H2B"	"H5A"	"H5B"
"g31735"	0	0	0	0	0	0	0	0	0	0	0	0
"g31736"	0	0	0	0	0	0	0	0	0	0	0	0
"g31737"	1	0	0	0	0	0	1	2	1	0	1	0
"g31738"	1	0	0	0	0	0	0	0	0	0	0	0
"g31739"	12	15	8	5	23	15	1	10	19	5	19	0
"g3174"	0	0	0	0	0	0	0	0	0	0	0	0
"g31740"	1	0	0	0	0	0	0	0	0	0	0	0
"g31741"	16	47	8	2	42	33	8	67	11	20	33	2
"g31742"	0	4	0	0	0	0	1	1	0	0	2	0
"g31743"	0	2	12	0	4	7	6	3	14	0	6	4
"g31744"	8	6	6	6	29	16	9	13	11	12	10	0
"g31745"	3	20	20	6	22	9	0	12	2	2	13	0
"g31746"	0	0	0	0	0	0	0	0	0	0	0	0
"g31747"	0	0	0	0	0	0	0	0	0	0	0	0
"g31748"	0	0	0	0	2	2	0	0	1	0	0	0
"g31749"	2	4	1	1	6	3	0	3	2	1	18	17
"g3175"	2	7	1	2	6	9	17	5	4	2	13	0
"g31750"	0	0	0	0	0	1	0	0	0	0	0	0
"g31751"	0	0	0	0	0	0	0	0	0	0	0	0
"g31752"	120	218	196	136	229	205	136	229	188	120	234	21
"g31753"	1	5	4	1	5	24	1	24	14	3	7	0
"g31754"	0	0	0	0	0	0	0	0	0	0	0	0
"g31755"	3	0	3	0	2	1	3	4	4	4	4	3
"g31756"	0	0	0	0	0	0	0	0	0	0	0	0
"g31757"	0	0	0	0	0	0	0	0	0	0	0	0
"g31758"	0	0	0	0	0	0	0	0	0	0	0	0
"g31759"	2	3	4	2	3	20	2	3	2	5	2	10
"g3176"	92	77	75	50	160	80	53	99	124	37	99	8
"g31760"	4	5	9	9	10	10	13	31	29	5	11	6
"g31761"	0	0	0	0	1	0	0	0	0	0	0	0
"g31762"	0	0	0	1	0	5	0	1	0	0	6	2
"g31763"	23	39	25	13	22	31	18	36	43	16	35	4
"g31764"	9	9	7	2	6	7	3	8	5	5	11	0
"g31765"	8	18	21	12	39	27	21	41	5	14	15	8
"g31766"	10	0	0	0	0	2	0	1	0	0	1	0
"g31767"	0	1	0	0	1	0	0	0	0	0	0	0
"g31768"	51	67	36	16	44	53	34	59	27	14	69	10
"g31769"	0	0	0	0	0	0	0	0	0	0	0	0
"g3177"	0	5	0	0	3	1	0	5	0	0	7	12
"g31770"	0	0	0	0	0	0	0	0	0	0	0	0
"g31771"	165	207	121	92	200	177	96	208	207	71	197	33
"g31772"	0	1	0	0	0	0	0	1	0	0	0	0
"g31773"	17	20	1	7	20	11	3	24	13	4	12	16
"g31774"	0	0	0	0	0	0	0	0	0	0	0	0
"g31775"	0	3	0	0	0	0	0	0	0	0	0	0
"g31776"	6	18	1	5	8	0	2	5	7	11	11	0
"g31777"	17	41	27	22	21	35	22	29	50	22	46	11
"g31778"	5	3	2	1	5	6	1	3	1	1	3	0
"g31779"	0	9	0	0	11	0	0	1	0	0	2	0
"g3178"	75	68	51	18	63	63	69	70	73	21	98	17
"g31780"	0	0	0	0	0	0	0	0	0	0	0	0
"g31781"	5	6	19	5	11	11	3	8	36	1	9	0
"g31782"	0	0	0	0	1	0	0	0	0	0	0	0
"g31783"	4	17	17	5	13	18	12	20	14	5	28	5
"g31784"	0	0	1	0	0	0	0	0	0	1	0	0
"g31785"	0	0	0	0	0	0	0	1	0	0	2	0
"g31786"	59	103	42	16	48	46	24	49	36	29	66	9
"g31787"	22	44	51	11	49	54	16	13	29	6	69	10
"g31788"	194	178	117	86	238	183	100	185	126	72	218	47
"g31789"	7	26	4	3	12	18	3	7	9	3	16	10
"g3179"	50	53	35	13	102	24	34	47	25	22	45	2
"g31790"	54	95	83	36	112	123	61	93	62	21	57	18
"g31791"	5	3	1	3	5	6	3	7	3	3	3	0
"g31792"	0	0	0	0	0	0	0	0	0	0	0	0
"g31793"	17	27	17	10	47	11	20	13	29	10	30	4
"g31794"	0	0	0	0	0	0	0	0	0	0	0	0
"g31795"	9	4	11	8	18	10	7	18	14	7	6	1
"g31796"	120	148	54	77	135	141	118	153	158	62	168	29
"g31797"	0	0	0	0	0	0	0	0	0	0	0	0
"g31798"	0	0	0	0	0	0	0	0	0	0	0	0
"g31799"	0	0	0	0	0	0	0	0	0	0	0	0
"g318"	5	10	3	8	10	13	7	12	7	2	15	0
"g3180"	0	1	0	2	1	5	0	0	3	3	1	0
"g31800"	8	3	2	0	1	6	1	26	5	2	21	2
